Ballotpedia Person ID,Name,Twitter ID,ASD Override,Category,Account Type,Product,Validated,Facebook ID,Youtube,Instagram ID,Rumble,Telegram,TikTok ID,Column1,Verified
,Atomic Energy Organization Of Iran,aeoi_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,aeoi.ir,,AEOI_PublicRelations,,,yes
,Alireza Ghezili,aghezili,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Seyyed Ahmad Khatami,ahmadkhatami_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Ahmad Masoumifar,ahmadmasoumifar,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Ahmadreza Shamsi,ahmadrshamsi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Alireza Yousefi,alirezayousef10,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,yes
,Ali Shamkhani,alishamkhani_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,shamkhani_ir,,,,,yes
,Iran embassy Madagascar,ambassade_iran,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,A.A. Mohammadi,ambmohammadi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Manouchehr Moradi,ambmoradi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,H.Amirabdollahian,amirabdolahian,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Amir Nazemi,amirnazemy,,Iran,Diplomatic/Government,Hamilton,TRUE,,,amir.nazemy,,sharenovate,,,
,Majid Ansari,ansaari_majid,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Imam Khamenei,ar_khamenei,,Iran,Diplomatic/Government,Hamilton,TRUE,,,live.ar.khamenei,,Khamenei_arabi,,,yes
,alireza moezi,ar_moezi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,arabic fars news,arabicfarsnews,,Iran,Media,Hamilton,TRUE,arabicfarsnews,UCt0NzvYvdhi0PagkGL-bZWg,arabicfarsnews,,arabic_farsnews,,,yes
,Seyed Abbas Araghchi,araghchi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,araghchi,,s_a_araghchi,,,yes
,Saeid Asadi,asadi72,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,"İran İstanbul Kültür Ataşeliği
",irankultur_ist,,Iran,Diplomatic/Government,Hamilton,TRUE,iran.kultur.ataseligi,,irankulturistanbul,,farhangi_istanbul,,,yes
,Mohammad Azizi,azizim49,,Iran,Media,Hamilton,TRUE,,,azizim49,,,,,
,Mohammad Ali Aziz Jafari,azizjafaari_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,EBaghaei,baghaeie,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Dep. Foreign Minister,bagheri_kani,,Iran,Diplomatic/Government,Hamilton,TRUE,,,dr.bagherikani,,,,,
,Abbas Bagherpour,bagherpourabbas,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Morteza Barari,barari_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,barari_ir,,,,,
,Cultura Persa,cultura_persa,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,"Iran Culture House, New Delhi",culturedelhi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Danny Perez Dia,dannyperezdiaz,,Iran,Media,Hamilton,TRUE,,,,,,,,
,Ajatollah Khamenei,de_khamenei,,Iran,Diplomatic/Government,Hamilton,TRUE,de.Khamenei,,de.khamenei,,,,,
,DocReviewShow,docreviewshow,,Iran,Media,Hamilton,TRUE,DocReviewShow,,docreviewshow,,,,,
,Mahmoud Vaezi,dr_vaezi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,"Kianush Jahanpur, MD",drjahanpur,,Iran,Diplomatic/Government,Hamilton,TRUE,kianush.jahanpur,,drjahanpur,,,,,
,Saeed Jalili,drsaeedjalili,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,jalili_saeed,,,
,"IRAN in Ireland
",dubliniran,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Massoumeh Ebtekar,ebtekarm (also has an Persian language account: ebtekarm_ir),,Iran,Diplomatic/Government,Hamilton,TRUE,,,m.ebtekar,,,,,
,Embajada de la R.I. de Irán en Venezuela,eiranencaracas,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Embassy of Islamic Republic of Iran in Madagascar,emadagas,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,EMBIRAN_ECUADOR,embiran_ecuador,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,EnglishFars,englishfars,,Iran,Media,Hamilton,TRUE,,,,,,,,
,Ayatolá Jameneí,es_khamenei,,Iran,Diplomatic/Government,Hamilton,TRUE,Khamanei.Es,,es_khamenei,,khamenei_es,,,
,Eshaq Jahangiri,eshaq_jahangiri,,Iran,Diplomatic/Government,Hamilton,TRUE,,,eshaqjahangiri_ir,,eshaghjahaangiri,,,
,parviz esmaeili,esmaeiliparviz,,Iran,Diplomatic/Government,Hamilton,TRUE,parviz.esmaeili1,,esmaeili.parviz,,parvizesmaeili,,,
,fatemeh aboutalebi,f_abt_z,,Iran,Media,Hamilton,TRUE,,,,,,,,
,Mohammad Farahani,farahanireports,,Iran,Media,Hamilton,TRUE,,,,,,,,
,فارس بین‌الملل,FarsNewsInt,,Iran,Media,Hamilton,TRUE,FNA.english,,fars_news,,FarsNewsInt,,,
,Hamid Fatahi,fatahi_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,fatahi_ir,,,,,
,پيام فضلی‌نژاد,fazlinejad,,Iran,Media,Hamilton,TRUE,fazlinejad,PayamFazlinejad,fazlinejad,,,,,
,Gharibabadi,gharibabadi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,k.gharibabadi,,,,,
,Hossein Gharibi,gharibi14,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,غلامعلی حدادعادل,haddadadel_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,gholamali.haddadadel.1,,haddadadelir,,HaddadAdel_ir,,,
,hamidrasaee,hamidrasaee,,Iran,Media,Hamilton,TRUE,,UCPODHN-S8v1Ql3uGtGuET4Q,rasaee.ir,,www_rasaee_ir,,,
,HassanRouhani,hassanrouhani,,Iran,Diplomatic/Government,Hamilton,TRUE,,,hrouhani,,,,,
,Hesameddin Ashena,Hesamodin1,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Seyed Mohammad Ali Hosseini,hossainisma,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,H.Soleimani,hs_soleimani,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,hs_soleimani,,,
,Iran embassy.Tanzania,idaressalam,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Hindi.Khamenei.ir,in_khamenei,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,Khamenei_in,,,
,Insight TV,insighttvshow,,Iran,Media,Hamilton,TRUE,,,,,InsightTVShow,,,
,Government of the Islamic Republic of Iran,iran_gov,,Iran,Diplomatic/Government,Hamilton,TRUE,,,irangov.en,,,,,
,Iran in India,iran_in_india,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IranEmbassyInIndia,,,
,Iran in Kuwait,iran_in_kuwait,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRAN_in_NL,iran_in_nl,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iran_in_nl,,,,,
,Iran_in_Turkey,iran_in_turkey,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iraninturkey,,,,,
,Iran_in_UK,iran_in_uk,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IranconsulateinUK,,,
,Iran_Military,iran_military,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iran_taj,iran_taj,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranembassyintajikistan,,,,,
,Iran_UN,iran_un,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iran_uzbekistan,iran_uzbekistan,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IranEmbassy_uzbekistan,,,
,IranCGinQuetta,irancginquetta,,Iran,Diplomatic/Government,Hamilton,TRUE,IranCGinQuetta,,,,,,,
,iranColombia97,irancolombia97,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iranembassy_nz,iranembassy_nz,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iran_embassy_nz,,,,,
,Iran embassy in Syria,iranembassydam,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IranembassyF,iranembassyf,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IranEmbassyLB,iranembassylb,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IranembassyR,iranembassyr,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
