Country,Type,City,State,URL,Link,Google,ir link 1,Name,Twitter,Facebook,Youtube,Instagram,Tiktok,Telegram,VK,Website
China,Consulate,Bandarabbas,Iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.google.com/search?q=China+Consulate+to+Iran+in+Bandarabbas%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://iran.mid.ru/,China Consulate to Iran in Bandarabbas,,,,,,,,http://ir.china-embassy.gov.cn/
China,Consulate,Papeete,Frenchpolynesia,https://www.embassypages.com/china-consulate-papeete-frenchpolynesia,https://www.embassypages.com/china-consulate-papeete-frenchpolynesia,https://www.google.com/search?q=China+Consulate+to+Frenchpolynesia+in+Papeete%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://frenchpolynesia.mid.ru/,China Consulate to Frenchpolynesia in Papeete,,,,,,,,http://papeete.china-consulate.gov.cn/
China,Consulate,Phuket,Thailand,https://www.embassypages.com/china-consulate-phuket-thailand,https://www.embassypages.com/china-consulate-phuket-thailand,https://www.google.com/search?q=China+Consulate+to+Thailand+in+Phuket%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://thailand.mid.ru/,China Consulate to Thailand in Phuket,,,,,,,,
China,Consulate,Portsaid,Egypt,https://www.embassypages.com/china-consulate-portsaid-egypt,https://www.embassypages.com/china-consulate-portsaid-egypt,https://www.google.com/search?q=China+Consulate+to+Egypt+in+Portsaid%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://egypt.mid.ru/,China Consulate to Egypt in Portsaid,,,,,,,,
China,Consulate,Siemreap,Cambodia,https://www.embassypages.com/china-consulate-siemreap-cambodia,https://www.embassypages.com/china-consulate-siemreap-cambodia,https://www.google.com/search?q=China+Consulate+to+Cambodia+in+Siemreap%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://cambodia.mid.ru/,China Consulate to Cambodia in Siemreap,,ChineseEmbassyCambodia,,,,,,http://kh.china-embassy.gov.cn/
China,Consulate,Sihanoukville,Cambodia,https://www.embassypages.com/china-consulate-sihanoukville-cambodia,https://www.embassypages.com/china-consulate-sihanoukville-cambodia,https://www.google.com/search?q=China+Consulate+to+Cambodia+in+Sihanoukville%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://cambodia.mid.ru/,China Consulate to Cambodia in Sihanoukville,,,,,,,,http://kh.china-embassy.gov.cn/
China,Consulategeneral,Adelaide,Australia,https://www.embassypages.com/china-consulategeneral-adelaide-australia,https://www.embassypages.com/china-consulategeneral-adelaide-australia,https://www.google.com/search?q=China+Consulategeneral+to+Australia+in+Adelaide%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://australia.mid.ru/,China Consulategeneral to Australia in Adelaide,,,,,,,,http://adelaide.china-consulate.gov.cn/
China,Consulategeneral,Aden,Yemen,https://www.embassypages.com/china-consulategeneral-aden-yemen,https://www.embassypages.com/china-consulategeneral-aden-yemen,https://www.google.com/search?q=China+Consulategeneral+to+Yemen+in+Aden%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://yemen.mid.ru/,China Consulategeneral to Yemen in Aden,,,,,,,,
China,Consulategeneral,Aktobe,Kazakhstan,https://www.embassypages.com/china-consulategeneral-aktobe-kazakhstan,https://www.embassypages.com/china-consulategeneral-aktobe-kazakhstan,https://www.google.com/search?q=China+Consulategeneral+to+Kazakhstan+in+Aktobe%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://kazakhstan.mid.ru/,China Consulategeneral to Kazakhstan in Aktobe,,,,,,,,
China,Consulategeneral,Alexandria,Egypt,https://www.embassypages.com/china-consulategeneral-alexandria-egypt,https://www.embassypages.com/china-consulategeneral-alexandria-egypt,https://www.google.com/search?q=China+Consulategeneral+to+Egypt+in+Alexandria%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://egypt.mid.ru/,China Consulategeneral to Egypt in Alexandria,,ChinaConsulAlex,,,,,,http://alexandria.china-consulate.gov.cn/
