Country,Type,City,State,URL,Link,Name,Twitter,Facebook,Youtube,Instagram,Website,site,title,link,snippet
China,Consulate,Bandarabbas,Iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,China Consulate to Iran in Bandarabbas,nan,nan,nan,nan,http://ir.china-embassy.gov.cn/,youtube.com,Chinese Navy Visiting Flotilla Docks at Iran's Bandar Abbas,https://www.youtube.com/watch?v=6x_1qr-OnlU,"... Iranian port. More than 200 people including Iran's First Naval Zone Admiral Amir Hossein Azad, Chinese ambassador to Iran Pang Sen, Iranian ..."
China,Consulate,Bandarabbas,Iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,China Consulate to Iran in Bandarabbas,nan,nan,nan,nan,http://ir.china-embassy.gov.cn/,youtube.com,"Iran & China Naval drill in Strait of Hormoz, phase one رزمايش ...",https://www.youtube.com/watch?v=pE9XbVQcv74,"June 18, 2017 (Persian calendar 1396/3/28) The Iranian and Chinese Navies have launched a joint exercise in an area stretching from the ..."
China,Consulate,Bandarabbas,Iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,China Consulate to Iran in Bandarabbas,nan,nan,nan,nan,http://ir.china-embassy.gov.cn/,youtube.com,Diplomatic Breakthrough: Iran Releases 5 More Indian Sailors ...,https://www.youtube.com/watch?v=xakPHhxS5as,"In a significant diplomatic pull, Iranian authorities on Thursday released 5 Indian sailors on board an Israeli linked vessel."
China,Consulate,Bandarabbas,Iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,China Consulate to Iran in Bandarabbas,nan,nan,nan,nan,http://ir.china-embassy.gov.cn/,instagram.com,AmirHossein Etemadi 🦅 (@amirhetemadi),https://www.instagram.com/amirhetemadi/,"... china-consulate-general-bandar-abbas-/6375811.html. Photo by AmirHossein Etemadi on December 29, 2021. . رژیم جمهوری اسلامی از همان آغاز حیات شومش، راه ..."
China,Consulate,Bandarabbas,Iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,China Consulate to Iran in Bandarabbas,nan,nan,nan,nan,http://ir.china-embassy.gov.cn/,instagram.com,"Eight days and 750km later, we have arrived in Bandar ...",https://www.instagram.com/tallbiketour/p/CuWGkcXoBy_/,"Eight days and 750km later, we have arrived in Bandar Abbas, at the edge of the Persian Gulf. ⏱️This past week has been one of the hardest ..."
China,Consulate,Bandarabbas,Iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,China Consulate to Iran in Bandarabbas,nan,nan,nan,nan,http://ir.china-embassy.gov.cn/,youtube.com,India Thanks Iran For Releasing Five More Sailors From ...,https://www.youtube.com/watch?v=NI_13-stodA,India has thanked Iranian authorities after Tehran released five Indian sailors on board the Israel-linked vessel that was seized by the ...
China,Consulate,Bandarabbas,Iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,https://www.embassypages.com/china-consulate-bandarabbas-iran,China Consulate to Iran in Bandarabbas,nan,nan,nan,nan,http://ir.china-embassy.gov.cn/,instagram.com,Alex | 🇮🇷 ISFAHAN 🇮🇷 🗺️26 days into Iran I've arrived in ...,https://www.instagram.com/tallbiketour/p/CtVmyjaIFYt/,"ISFAHAN 🗺️26 days into Iran I've arrived in Isfahan, the first large city on my journey through Persia. This city is magnificent, with so much vibrant ..."
China,Consulate,Papeete,Frenchpolynesia,https://www.embassypages.com/china-consulate-papeete-frenchpolynesia,https://www.embassypages.com/china-consulate-papeete-frenchpolynesia,China Consulate to Frenchpolynesia in Papeete,nan,nan,nan,nan,http://papeete.china-consulate.gov.cn/,facebook.com,Cook Islands Ministry of Foreign Affairs & Immigration,https://www.facebook.com/mfaicookislands/posts/wednesday-25-november-2020-1600french-navy-repatriation-flight-to-french-polynes/1763357597163806/,"French Honourary Consul to the Cook Islands, Ms Patricia Barton has been liaising with the stranded French citizens during their extended stay ..."
China,Consulate,Papeete,Frenchpolynesia,https://www.embassypages.com/china-consulate-papeete-frenchpolynesia,https://www.embassypages.com/china-consulate-papeete-frenchpolynesia,China Consulate to Frenchpolynesia in Papeete,nan,nan,nan,nan,http://papeete.china-consulate.gov.cn/,facebook.com,Fiji Ministry of Foreign Affairs's post,https://www.facebook.com/foreign.affairs.fiji/posts/french-polynesia-provides-tc-yasa-relief-assistance-to-fiji-the-tahiti-nui-ship-/4080175955326083/,FRENCH POLYNESIA PROVIDES TC YASA RELIEF ASSISTANCE TO FIJI The Tahiti Nui ship berthed at Suva Port this morning to deliver the ...
China,Consulate,Papeete,Frenchpolynesia,https://www.embassypages.com/china-consulate-papeete-frenchpolynesia,https://www.embassypages.com/china-consulate-papeete-frenchpolynesia,China Consulate to Frenchpolynesia in Papeete,nan,nan,nan,nan,http://papeete.china-consulate.gov.cn/,facebook.com,China # Chinese intercontinental missile track A map ...,https://www.facebook.com/groups/Pacificnewsroom/posts/1635855043667992/,It appears to have flown over Guam and the west-east axis of Kiribati before going into the high seas north of French Polynesia. The splash down ...
