embassy,site,title,link,snippet
China Consulate to Egypt in Portsaid,facebook.com,"China has provided a batch of cash... - People's Daily, China",https://www.facebook.com/story.php/?story_fbid=867091775462115&id=100064839002599,"Chinese aid of rice will arrive at Egypt's Port Said on March 28 and then be transported to the Strip through the Rafah crossing, according to the embassy."
China Consulate to Egypt in Portsaid,instagram.com,نَدىٰ عِصام | Nada Essam | About Sino-Egyptian cultural ...,https://www.instagram.com/nadaessam11/p/Cl9i290MW7b/?locale=my&hl=en,نَدىٰ عِصام | Nada Essam | About Sino-Egyptian cultural interaction with Chinese Embassy ... Photo by نَدىٰ عِصام | Nada Essam in Portsaid.
China Consulate to Egypt in Portsaid,facebook.com,CGTN - China's Ambassador of the Ministry of Foreign ...,https://www.facebook.com/photo.php?fbid=1065660134927458&id=100044504436603&set=a.398442271649251&locale=hy_AM,"... said. China has also sent rice for Palestine, which will arrive in Port Said, Egypt on March 28. The Chinese rice will be shipped to Gaza through the Rafah ..."
China Consulate to Egypt in Portsaid,instagram.com,Egypt Today | Prime Minister Mostafa Madbouly witnessed ...,https://www.instagram.com/p/C_lUGBtI1GJ/?locale=de&hl=cs,Prime Minister Mostafa Madbouly witnessed on Friday the signing of five memoranda of understanding (MoUs) with Chinese companies to enhance ...
China Consulate to Egypt in Portsaid,instagram.com,Instagram,https://www.instagram.com/p/CzaFRCOxCYa/,"Applications close on June 2, and the selection process will be in June-July. We generally seek candidates in the following language ..."
China Consulate to Egypt in Portsaid,instagram.com,Singapore Embassy in Cairo (@sg.embassy.cairo),https://www.instagram.com/sg.embassy.cairo/,"Welcome to the official Instagram account of the Singapore Embassy in Cairo, Egypt! 40 Adnan Omar Sedky Street, Cairo, Egypt. www.mfa.gov.sg/cairo."
China Consulate to Egypt in Portsaid,instagram.com,People's Daily | #China has provided a batch of cash assistance ...,https://www.instagram.com/peoples_daily/p/C4wfj4vsqx5/,"Chinese aid of rice will arrive at Egypt's Port Said on March 28 and then be transported to the Strip through the Rafah crossing, according to the embassy. more."
China Consulate to Egypt in Portsaid,instagram.com,SceneBuzz: PORT SAID IS BUILDING A MALL THAT'S ALL ...,https://www.instagram.com/cairoscene/p/CQgkUMDtWGb/,"Port Said is building a mall dedicated entirely to thrifting - the first of its kind in Egypt. Set to house 514 shops for second-hand clothing, ..."
China Consulate to Cambodia in Siemreap,facebook.com,Chinese Embassy in Cambodia-中华人民共和国驻柬埔寨 ...,https://www.facebook.com/ChineseEmbassyCambodia/,"Chinese Embassy in Cambodia-中华人民共和国驻柬埔寨王国大使馆, រាជធានី​ភ្នំពេញ. 71641 likes · 279 talking about this · 19778 were here. Consulate & Embassy."
China Consulate to Cambodia in Siemreap,facebook.com,Khmer Times's post,https://www.facebook.com/100070797681384/posts/563539929349258/,"'Beautiful Cambodia, Beautiful China' photo exhibition kicks off in Siem Reap - Khmer Times. The China International Communications Group (CI..."
China Consulate to Cambodia in Siemreap,facebook.com,‏‎Wang Wenbin Chinese Ambassador to the Kingdom of ...,https://www.facebook.com/photo.php?fbid=873932061213776&set=a.395332999073687&type=3&locale=ps_AF,The foundation for China-EU relations is mutually beneficial cooperation. Politicizing economic and trade issues between China and the EU while slashing tariffs ...
