Category,Account Type,Name,"Position, Notes, or Reason for Inclusion",Twitter ID,Facebook ID,YouTube ID,Instagram ID, TikTok,Telegram ID, Threads, Rumble, VK, Bitchute, GETTR, Gab, OK, Parler, Podcast, Substack, TruthSocial,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Instagram username,YouTube channel ID,TikTok username,Threads username,Rumble channel,VK ID,Gab username,Odnoklassniki user numeric ID,Parler username,Truth Social username,updated
China,Media,Where Zhengzhou,Zhengzhou Municipal Party Committee,where_zhengzhou,wherezhengzhou,wherezhengzhou,wherezhengzhou_,wherezhengzhou,,wherezhengzhou_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Zhengguan News,Zhengzhou Municipal Party Committee,zhengguannews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Zhengguan Media,Zhengzhou Municipal Party Committee,,,,,,,zhengguanmedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Insight Xiangshan,Zhejiang Provincial People's Government,ixiangshan,profile.php?id=100078441630290&locale=ms_MY&paipv=0&eav=AfbsFttSNbGlUJU5nqbp9Eewz5Xx3DHdyGyqM18zEeFxtQ7u7BNieqHN3up5ISQrDio,insightxiangshan2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,"Zhejiang, China",Zhejiang Provincial People's Government,izhejiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Zhejiang 520,Zhejiang Provincial People's Government,,,,,zhejiang520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Tide News,Zhejiang Provincial Committee,tidenewszj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Mingala News,Yunnan Provincial Committee,mingalanews,mingalanews,,,mingalanews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Yunnan TV,Yunnan Provincial Committee,,,YunnanTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,"Xiamen, China",Xiamen Municipal People's Government,china_xiamen,xiamengov,,,visitxiamen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,"Wuxi, China",Wuxi Municipal People's Government,wuxicity,WuxiCity,,,wuxi_city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Jiupai News,Wuhan Municipal Committee,,,user-tm5fe9ex6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Shiting Wenshan,Wenshan Municipal People's Government,,视听文山-100068200601004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Discover Beijing,unknown,beijingdiscover,DiscoverBeijing,,idiscoverbeijing,discoverbeijing,,idiscoverbeijing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Discover Xinjiang,unknown,dxinjiang,DiscoverXinjiang,,,discoverxinjiang,,discoverxinjiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Shaanxi Moments,unknown,shaanximoments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Space Town Wenchang,unknown,spacewenchang,profile.php?id=100082566804212&paipv=0&eav=Afa5GMw44Bzrn-Ep8OWN3I92hYhOcUk03c5TZ7n-IF2UjcrLBb_460MBK4Zy1T5ciWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Today Review,unknown,todayreview_hk,todayreview88,todayreview9720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Visit Chongqing,unknown,visitchongqing,visitchongqing,visitchongqing8720,visitchongqing,visit_chongqing1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
